date,location,new_cases,new_deaths,total_cases,total_deaths,mortality
2020-02-25,Afghanistan,0,0,1,0,0
2020-02-26,Afghanistan,0,0,1,0,0
2020-02-27,Afghanistan,0,0,1,0,0
2020-02-28,Afghanistan,0,0,1,0,0
2020-02-29,Afghanistan,0,0,1,0,0
2020-03-01,Afghanistan,0,0,1,0,0
2020-03-02,Afghanistan,0,0,1,0,0
2020-03-03,Afghanistan,0,0,1,0,0
2020-03-04,Afghanistan,0,0,1,0,0
2020-03-05,Afghanistan,0,0,1,0,0
2020-03-06,Afghanistan,0,0,1,0,0
2020-03-07,Afghanistan,0,0,1,0,0
2020-03-08,Afghanistan,3,0,4,0,0
2020-03-09,Afghanistan,0,0,4,0,0
2020-03-10,Afghanistan,0,0,4,0,0
2020-03-11,Afghanistan,0,0,4,0,0
2020-03-12,Afghanistan,3,0,7,0,0
2020-03-13,Afghanistan,0,0,7,0,0
2020-03-14,Afghanistan,0,0,7,0,0
2020-03-09,Albania,0,0,2,0,0
2020-03-10,Albania,0,0,2,0,0
2020-03-11,Albania,8,0,10,0,0
2020-03-12,Albania,0,0,10,0,0
2020-03-13,Albania,13,0,23,0,0
2020-03-14,Albania,10,0,33,1,0.030303030303030304
2020-02-26,Algeria,0,0,1,0,0
2020-02-27,Algeria,0,0,1,0,0
2020-02-28,Algeria,0,0,1,0,0
2020-02-29,Algeria,0,0,1,0,0
2020-03-01,Algeria,0,0,1,0,0
2020-03-02,Algeria,0,0,1,0,0
2020-03-03,Algeria,4,0,5,0,0
2020-03-04,Algeria,0,0,5,0,0
2020-03-05,Algeria,7,0,12,0,0
2020-03-06,Algeria,0,0,12,0,0
2020-03-07,Algeria,5,0,17,0,0
2020-03-08,Algeria,0,0,17,0,0
2020-03-09,Algeria,3,0,20,0,0
2020-03-10,Algeria,0,0,20,0,0
2020-03-11,Algeria,0,0,20,0,0
2020-03-12,Algeria,5,0,25,1,0.04
2020-03-13,Algeria,0,0,25,1,0.04
2020-03-14,Algeria,1,1,26,2,0.07692307692307693
2020-03-03,Andorra,0,0,1,0,0
2020-03-04,Andorra,0,0,1,0,0
2020-03-05,Andorra,0,0,1,0,0
2020-03-06,Andorra,0,0,1,0,0
2020-03-07,Andorra,0,0,1,0,0
2020-03-08,Andorra,0,0,1,0,0
2020-03-09,Andorra,0,0,1,0,0
2020-03-10,Andorra,0,0,1,0,0
2020-03-11,Andorra,0,0,1,0,0
2020-03-12,Andorra,0,0,1,0,0
2020-03-13,Andorra,0,0,1,0,0
2020-03-14,Andorra,1,0,2,0,0
2020-03-14,Antigua and Barbuda,0,0,1,0,0
2020-03-04,Argentina,0,0,1,0,0
2020-03-05,Argentina,0,0,1,0,0
2020-03-06,Argentina,0,0,1,0,0
2020-03-07,Argentina,1,0,2,0,0
2020-03-08,Argentina,7,0,9,1,0.1111111111111111
2020-03-09,Argentina,3,0,12,1,0.08333333333333333
2020-03-10,Argentina,0,0,12,1,0.08333333333333333
2020-03-11,Argentina,5,0,17,1,0.058823529411764705
2020-03-12,Argentina,2,0,19,1,0.05263157894736842
2020-03-13,Argentina,12,0,31,1,0.03225806451612903
2020-03-14,Argentina,3,1,34,2,0.058823529411764705
2020-03-02,Armenia,0,0,1,0,0
2020-03-03,Armenia,0,0,1,0,0
2020-03-04,Armenia,0,0,1,0,0
2020-03-05,Armenia,0,0,1,0,0
2020-03-06,Armenia,0,0,1,0,0
2020-03-07,Armenia,0,0,1,0,0
2020-03-08,Armenia,0,0,1,0,0
2020-03-09,Armenia,0,0,1,0,0
2020-03-10,Armenia,0,0,1,0,0
2020-03-11,Armenia,0,0,1,0,0
2020-03-12,Armenia,0,0,1,0,0
2020-03-13,Armenia,0,0,1,0,0
2020-03-14,Armenia,7,0,8,0,0
2020-01-25,Australia,0,0,3,0,0
2020-01-26,Australia,1,0,4,0,0
2020-01-27,Australia,0,0,4,0,0
2020-01-28,Australia,1,0,5,0,0
2020-01-29,Australia,2,0,7,0,0
2020-01-30,Australia,0,0,7,0,0
2020-01-31,Australia,2,0,9,0,0
2020-02-01,Australia,3,0,12,0,0
2020-02-02,Australia,0,0,12,0,0
2020-02-03,Australia,0,0,12,0,0
2020-02-04,Australia,0,0,12,0,0
2020-02-05,Australia,1,0,13,0,0
2020-02-06,Australia,1,0,14,0,0
2020-02-07,Australia,1,0,15,0,0
2020-02-08,Australia,0,0,15,0,0
2020-02-09,Australia,0,0,15,0,0
2020-02-10,Australia,0,0,15,0,0
2020-02-11,Australia,0,0,15,0,0
2020-02-12,Australia,0,0,15,0,0
2020-02-13,Australia,0,0,15,0,0
2020-02-14,Australia,0,0,15,0,0
2020-02-15,Australia,0,0,15,0,0
2020-02-16,Australia,0,0,15,0,0
2020-02-17,Australia,0,0,15,0,0
2020-02-18,Australia,0,0,15,0,0
2020-02-19,Australia,0,0,15,0,0
2020-02-20,Australia,0,0,15,0,0
2020-02-21,Australia,2,0,17,0,0
2020-02-22,Australia,4,0,21,0,0
2020-02-23,Australia,1,0,22,0,0
2020-02-24,Australia,0,0,22,0,0
2020-02-25,Australia,0,0,22,0,0
2020-02-26,Australia,1,0,23,0,0
2020-02-27,Australia,0,0,23,0,0
2020-02-28,Australia,0,0,23,0,0
2020-02-29,Australia,1,0,24,0,0
2020-03-01,Australia,1,0,25,0,0
2020-03-02,Australia,2,0,27,1,0.037037037037037035
2020-03-03,Australia,6,0,33,1,0.030303030303030304
2020-03-04,Australia,10,0,43,1,0.023255813953488372
2020-03-05,Australia,14,0,57,1,0.017543859649122806
2020-03-06,Australia,0,1,57,2,0.03508771929824561
2020-03-07,Australia,5,0,62,2,0.03225806451612903
2020-03-08,Australia,12,1,74,3,0.04054054054054054
